"","id","player_of_match","toss_winner","t","winner","result","result_margin","eliminator","method","umpire_team","Field","FieldValue","TeamNumber","Team"
"3032",1082597,"N Rana","Mumbai Indians","field","Mumbai Indians","wickets",4,"N",NA,"Nitin Menon/CK Nandan","date","09/04/2017","team1","Mumbai Indians"
"3033",1082598,"AR Patel","Royal Challengers Bangalore","bat","Kings XI Punjab","wickets",8,"N",NA,"AK Chaudhary/C Shamshuddin","date","10/04/2017","team1","Kings XI Punjab"
"3034",1082599,"SV Samson","Rising Pune Supergiant","field","Delhi Daredevils","runs",97,"N",NA,"AY Dandekar/S Ravi","date","11/04/2017","team1","Rising Pune Supergiant"
"3035",1082600,"JJ Bumrah","Mumbai Indians","field","Mumbai Indians","wickets",4,"N",NA,"Nitin Menon/CK Nandan","date","12/04/2017","team1","Mumbai Indians"
"3036",1082601,"SP Narine","Kolkata Knight Riders","field","Kolkata Knight Riders","wickets",8,"N",NA,"A Deshmukh/NJ Llong","date","13/04/2017","team1","Kolkata Knight Riders"
"3037",1082602,"KA Pollard","Mumbai Indians","field","Mumbai Indians","wickets",4,"N",NA,"KN Ananthapadmanabhan/AK Chaudhary","date","14/04/2017","team1","Royal Challengers Bangalore"
"3038",1082603,"AJ Tye","Gujarat Lions","field","Gujarat Lions","wickets",7,"N",NA,"A Nand Kishore/S Ravi","date","14/04/2017","team1","Gujarat Lions"
"3039",1082604,"RV Uthappa","Sunrisers Hyderabad","field","Kolkata Knight Riders","runs",17,"N",NA,"AY Dandekar/NJ Llong","date","15/04/2017","team1","Kolkata Knight Riders"
"3040",1082605,"CJ Anderson","Delhi Daredevils","bat","Delhi Daredevils","runs",51,"N",NA,"YC Barde/Nitin Menon","date","15/04/2017","team1","Delhi Daredevils"
"3041",1082606,"N Rana","Mumbai Indians","field","Mumbai Indians","wickets",6,"N",NA,"A Nand Kishore/S Ravi","date","16/04/2017","team1","Mumbai Indians"
"3042",1082607,"BA Stokes","Royal Challengers Bangalore","field","Rising Pune Supergiant","runs",27,"N",NA,"KN Ananthapadmanabhan/C Shamshuddin","date","16/04/2017","team1","Royal Challengers Bangalore"
"3043",1082608,"NM Coulter-Nile","Delhi Daredevils","bat","Kolkata Knight Riders","wickets",4,"N",NA,"Nitin Menon/CK Nandan","date","17/04/2017","team1","Delhi Daredevils"
"3044",1082609,"B Kumar","Kings XI Punjab","field","Sunrisers Hyderabad","runs",5,"N",NA,"AY Dandekar/A Deshmukh","date","17/04/2017","team1","Sunrisers Hyderabad"
"3045",1082610,"CH Gayle","Gujarat Lions","field","Royal Challengers Bangalore","runs",21,"N",NA,"S Ravi/VK Sharma","date","18/04/2017","team1","Gujarat Lions"
"3046",1082611,"KS Williamson","Sunrisers Hyderabad","bat","Sunrisers Hyderabad","runs",15,"N",NA,"CB Gaffaney/NJ Llong","date","19/04/2017","team1","Sunrisers Hyderabad"
"3047",1082612,"JC Buttler","Mumbai Indians","field","Mumbai Indians","wickets",8,"N",NA,"M Erasmus/C Shamshuddin","date","20/04/2017","team1","Kings XI Punjab"
"3048",1082613,"SK Raina","Gujarat Lions","field","Gujarat Lions","wickets",4,"N",NA,"CB Gaffaney/Nitin Menon","date","21/04/2017","team1","Kolkata Knight Riders"
"3049",1082614,"MJ McClenaghan","Delhi Daredevils","field","Mumbai Indians","runs",14,"N",NA,"A Nand Kishore/S Ravi","date","22/04/2017","team1","Mumbai Indians"
"3050",1082615,"MS Dhoni","Rising Pune Supergiant","field","Rising Pune Supergiant","wickets",6,"N",NA,"AY Dandekar/A Deshmukh","date","22/04/2017","team1","Rising Pune Supergiant"
"3051",1082616,"HM Amla","Gujarat Lions","field","Kings XI Punjab","runs",26,"N",NA,"AK Chaudhary/M Erasmus","date","23/04/2017","team1","Gujarat Lions"
"3052",1082617,"NM Coulter-Nile","Royal Challengers Bangalore","field","Kolkata Knight Riders","runs",82,"N",NA,"CB Gaffaney/CK Nandan","date","23/04/2017","team1","Kolkata Knight Riders"
"3053",1082618,"BA Stokes","Mumbai Indians","field","Rising Pune Supergiant","runs",3,"N",NA,"A Nand Kishore/S Ravi","date","24/04/2017","team1","Mumbai Indians"
"3054",1082620,"RV Uthappa","Kolkata Knight Riders","field","Kolkata Knight Riders","wickets",7,"N",NA,"AY Dandekar/NJ Llong","date","26/04/2017","team1","Rising Pune Supergiant"
"3055",1082621,"AJ Tye","Gujarat Lions","field","Gujarat Lions","wickets",7,"N",NA,"AK Chaudhary/C Shamshuddin","date","27/04/2017","team1","Royal Challengers Bangalore"
"3056",1082622,"G Gambhir","Kolkata Knight Riders","field","Kolkata Knight Riders","wickets",7,"N",NA,"NJ Llong/S Ravi","date","28/04/2017","team1","Kolkata Knight Riders"
"3057",1082623,"Rashid Khan","Kings XI Punjab","field","Sunrisers Hyderabad","runs",26,"N",NA,"Nitin Menon/CK Nandan","date","28/04/2017","team1","Kings XI Punjab"
"3058",1082624,"LH Ferguson","Royal Challengers Bangalore","field","Rising Pune Supergiant","runs",61,"N",NA,"KN Ananthapadmanabhan/M Erasmus","date","29/04/2017","team1","Rising Pune Supergiant"
